,132,0,5,160,244,163,195,61
,132,0,244,163,228,167,196,61
,132,0,244,163,228,167,196,61
,132,0,244,163,228,167,196,61
,4,0,244,163,228,167,196,61
,4,0,228,167,211,171,197,61
,4,0,228,167,211,171,197,61
,4,0,228,167,211,171,197,61
,132,0,228,167,211,171,197,61
,132,0,211,171,178,175,198,62
,132,0,211,171,178,175,198,62
,132,0,211,171,178,175,198,62
,4,0,211,171,178,175,198,62
,4,0,178,175,129,179,199,63
,4,0,178,175,129,179,199,63
,4,0,178,175,129,179,199,63
,132,0,178,175,129,179,199,63
,132,0,129,179,80,183,200,63
,132,0,129,179,80,183,200,63
,4,0,129,179,80,183,200,63
,132,0,121,26,88,30,117,62
,132,0,121,26,88,30,117,62
,4,0,121,26,88,30,117,62
,4,0,88,30,55,34,118,62
,4,0,88,30,55,34,118,62
,4,0,88,30,55,34,118,62
,132,0,88,30,55,34,118,62
,132,0,55,34,22,38,119,62
,132,0,55,34,22,38,119,62
,132,0,55,34,22,38,119,62
,4,0,55,34,22,38,119,62
,4,0,22,38,245,41,120,62
,4,0,22,38,245,41,120,62
,4,0,22,38,245,41,120,62
,132,0,22,38,245,41,120,62
,132,0,245,41,212,45,121,62
,132,0,245,41,212,45,121,62
,132,0,245,41,212,45,121,62
,4,0,245,41,212,45,121,62
,4,0,212,45,179,49,122,62
,4,0,212,45,179,49,122,62
,4,0,212,45,179,49,122,62
,4,0,83,165,232,168,154,67
,132,0,83,165,232,168,154,67
,132,0,83,165,232,168,154,67
,132,0,232,168,112,172,155,68
,132,0,232,168,112,172,155,68
,4,0,232,168,112,172,155,68
,4,0,112,172,234,175,156,69
,4,0,112,172,234,175,156,69
,4,0,112,172,234,175,156,69
,132,0,112,172,234,175,156,69
,132,0,234,175,101,179,157,69
,4,0,164,112,85,116,211,65
,4,0,164,112,85,116,211,65
,132,0,85,116,21,120,212,64
,132,0,85,116,21,120,212,64
,132,0,85,116,21,120,212,64
,132,0,85,116,21,120,212,64
,4,0,21,120,228,123,213,63
,4,0,21,120,228,123,213,63
,4,0,21,120,228,123,213,63
,4,0,21,120,228,123,213,63
